ExpNum AgentType UtilType GenType Alpha Voters Candidates Iterations Experiments Borda_borda Borda_copeland Borda_plurality Borda_stv Condorcet Cond_borda Cond_copeland Cond_plurality Cond_stv
40 PragmatistAgent exp_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.990226223776223 0.9800194638694633 0.9869807692307684 True 0.9348290598290598 1.0 0.8899572649572649 0.9807692307692307
41 PragmatistAgent log_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9781210618322318 0.9329207273972117 0.9512643436845021 True 0.8029891304347826 1.0 0.7255434782608695 0.8790760869565217
42 PragmatistAgent log_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9876324009324002 0.9735840326340324 0.9849778554778551 True 0.9145299145299145 1.0 0.8760683760683761 0.9711538461538461
49 LearningAgent linear_util impartial_culture None 9 7 500 1000 1.0 0.9853221152855675 0.917368467488409 0.9524113853558718 False 0.8422664624808576 1.0 0.5712098009188361 0.8315467075038285
50 LearningAgent linear_util impartial_culture None 9 3 500 1000 1.0 0.9905984848484849 0.9727599067599066 0.9856045454545452 True 0.9232432432432433 1.0 0.798918918918919 0.9567567567567568
51 LearningAgent exp_util impartial_culture None 9 7 500 1000 1.0 0.9845826765965074 0.920377494699595 0.9590718341293106 False 0.8567164179104477 1.0 0.5522388059701493 0.8343283582089552
52 LearningAgent exp_util impartial_culture None 9 3 500 1000 1.0 0.9919136363636357 0.9732963869463863 0.9883227272727266 True 0.9236641221374046 1.0 0.8146128680479825 0.9716466739367503
53 LearningAgent log_util impartial_culture None 9 7 500 1000 1.0 0.9836593697415452 0.9263495633392022 0.9562488458791464 False 0.8397534668721109 1.0 0.576271186440678 0.8197226502311248
54 LearningAgent log_util impartial_culture None 9 3 500 1000 1.0 0.9921916083916076 0.9727206293706288 0.9861734265734259 True 0.9180327868852459 1.0 0.8284153005464481 0.9683060109289617
61 LearningAgent linear_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9781584070425312 0.9285547738521311 0.9512172713208815 False 0.8176795580110497 1.0 0.7251381215469613 0.8660220994475138
62 LearningAgent linear_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9866107226107216 0.9731792540792529 0.9832864801864794 True 0.8963675213675214 1.0 0.8589743589743589 0.969017094017094
63 LearningAgent exp_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9769470524608995 0.9334530712888911 0.9508248198629885 True 0.7762619372442019 1.0 0.7503410641200545 0.8854024556616644
64 LearningAgent exp_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9900689976689971 0.9765797202797196 0.9870402097902093 True 0.9262032085561497 1.0 0.8759358288770054 0.9786096256684492
65 LearningAgent log_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9765429058987598 0.9292909847585507 0.9527993703037465 False 0.8138888888888889 1.0 0.7486111111111111 0.9041666666666667
66 LearningAgent log_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9886918414918411 0.9745987179487174 0.9846691142191142 True 0.9101604278074866 1.0 0.8545454545454545 0.9614973262032086
73 LearningBestResponseAgent linear_util impartial_culture None 9 7 500 1000 1.0 0.9825475238073071 0.920156879371583 0.9576161704710682 True 0.8242424242424242 1.0 0.5666666666666667 0.806060606060606
74 LearningBestResponseAgent linear_util impartial_culture None 9 3 500 1000 1.0 0.9924431235431228 0.9723765734265726 0.988414335664335 True 0.9160387513455328 1.0 0.8105489773950484 0.9537136706135629
75 LearningBestResponseAgent exp_util impartial_culture None 9 7 500 1000 1.0 0.9841377461610152 0.9198834132038993 0.9557409587425334 True 0.852017937219731 1.0 0.585949177877429 0.8251121076233184
76 LearningBestResponseAgent exp_util impartial_culture None 9 3 500 1000 1.0 0.9929121212121205 0.9753876456876448 0.9888818181818173 True 0.9132762312633833 1.0 0.8115631691648822 0.9635974304068522
77 LearningBestResponseAgent log_util impartial_culture None 9 7 500 1000 1.0 0.9809367703579143 0.9162772127670595 0.9559360762438632 True 0.8237129485179407 1.0 0.5663026521060842 0.8159126365054602
78 LearningBestResponseAgent log_util impartial_culture None 9 3 500 1000 1.0 0.9940158508158505 0.9710202797202793 0.9905567599067594 True 0.9247881355932204 1.0 0.8135593220338984 0.9661016949152542
85 LearningBestResponseAgent linear_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9801069767251549 0.9262299762650994 0.9498449262793015 False 0.8130841121495327 1.0 0.7076101468624834 0.8598130841121495
86 LearningBestResponseAgent linear_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9883632867132861 0.9761407925407921 0.9862284382284379 True 0.9228295819935691 1.0 0.8703108252947481 0.9732047159699893
87 LearningBestResponseAgent exp_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9776233683409634 0.9272737047945027 0.9474394834344372 True 0.8133704735376045 1.0 0.7270194986072424 0.8844011142061281
88 LearningBestResponseAgent exp_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9885185314685303 0.9745400932400926 0.9835579254079241 True 0.9061181434599156 1.0 0.879746835443038 0.9662447257383966
89 LearningBestResponseAgent log_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9781808635683066 0.9280508802633648 0.9458330583753817 True 0.8013888888888889 1.0 0.7319444444444444 0.8652777777777778
90 LearningBestResponseAgent log_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9899237762237753 0.9729487179487176 0.9842101398601395 True 0.9323308270676691 1.0 0.8764769065520945 0.9613319011815252
91 LearningBayesianAgent linear_util impartial_culture None 9 7 500 1000 1.0 0.982979619767792 0.9224946085085164 0.9571122451164481 True 0.8410404624277457 1.0 0.5780346820809249 0.815028901734104
92 LearningBayesianAgent linear_util impartial_culture None 9 3 500 1000 1.0 0.9916681818181812 0.9721317016317007 0.9870181818181814 True 0.9311475409836065 1.0 0.8142076502732241 0.946448087431694
93 LearningBayesianAgent exp_util impartial_culture None 9 7 500 1000 1.0 0.9841808231856733 0.9201979027318061 0.9576472266589001 True 0.8394495412844036 1.0 0.5565749235474006 0.8348623853211009
94 LearningBayesianAgent exp_util impartial_culture None 9 3 500 1000 1.0 0.9921942890442889 0.9771777389277385 0.9886973193473193 True 0.9260869565217391 1.0 0.8195652173913044 0.9641304347826087
95 LearningBayesianAgent log_util impartial_culture None 9 7 500 1000 1.0 0.9838544170542604 0.9243521072088405 0.9583822678036455 False 0.8509406657018813 1.0 0.5875542691751086 0.8306801736613604
96 LearningBayesianAgent log_util impartial_culture None 9 3 500 1000 1.0 0.9905318181818175 0.9752278554778542 0.9883045454545448 True 0.912621359223301 1.0 0.81445523193096 0.9622437971952535
97 LearningBayesianAgent linear_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9785461687546559 0.9291763967528296 0.9472434241012819 False 0.7967698519515478 1.0 0.7240915208613729 0.8627187079407806
98 LearningBayesianAgent linear_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9872173659673655 0.9781947552447545 0.9848946386946382 True 0.9113513513513514 1.0 0.8983783783783784 0.9718918918918918
99 LearningBayesianAgent exp_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9797698762239984 0.9289122229018074 0.9536367703348564 True 0.8161865569272977 1.0 0.7133058984910837 0.8737997256515775
100 LearningBayesianAgent exp_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9902582750582746 0.9753735431235426 0.9852203962703957 True 0.9141039236479321 1.0 0.8727465535524921 0.9692470837751855
101 LearningBayesianAgent log_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9794961477441613 0.931259661678069 0.9469242903268514 True 0.8398876404494382 1.0 0.702247191011236 0.8525280898876404
102 LearningBayesianAgent log_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9891993006993001 0.9736613053613049 0.9849326340326335 True 0.9181034482758621 1.0 0.8674568965517241 0.9622844827586207
